date,channel,region,orders,revenue
2026-09-01,Mobile app,East,72,4181.04
2026-09-01,Mobile app,North,92,6169.52
2026-09-01,Mobile app,South,84,5012.28
2026-09-01,Mobile app,West,68,4052.8
2026-09-01,Phone,East,43,2186.98
2026-09-01,Phone,North,31,1352.53
2026-09-01,Phone,South,15,678.9
2026-09-01,Phone,West,15,601.95
2026-09-01,Store,East,42,4276.02
2026-09-01,Store,North,38,3637.36
2026-09-01,Store,South,22,2496.78
2026-09-01,Store,West,54,6003.72
2026-09-01,Web,East,81,7195.23
2026-09-01,Web,North,61,5410.7
2026-09-01,Web,South,69,5477.91
2026-09-01,Web,West,53,3864.76
2026-09-02,Mobile app,East,74,4582.08
2026-09-02,Mobile app,North,78,5551.26
2026-09-02,Mobile app,South,86,4802.24
2026-09-02,Mobile app,West,70,4955.3
2026-09-02,Phone,East,49,2129.05
2026-09-02,Phone,North,45,2136.6
2026-09-02,Phone,South,21,872.13
2026-09-02,Phone,West,37,2128.98
2026-09-02,Store,East,56,5820.64
2026-09-02,Store,North,20,2072.6
2026-09-02,Store,South,44,4369.2
2026-09-02,Store,West,20,2099.4
2026-09-02,Web,East,75,5667.0
2026-09-02,Web,North,47,3519.83
2026-09-02,Web,South,55,3979.8
2026-09-02,Web,West,47,3298.93
2026-09-03,Mobile app,East,83,4711.91
2026-09-03,Mobile app,North,95,6247.2
2026-09-03,Mobile app,South,87,4897.23
2026-09-03,Mobile app,West,95,5283.9
2026-09-03,Phone,East,16,731.52
2026-09-03,Phone,North,44,2291.96
2026-09-03,Phone,South,28,1356.32
2026-09-03,Phone,West,12,633.48
2026-09-03,Store,East,53,5880.35
2026-09-03,Store,North,57,5621.34
2026-09-03,Store,South,33,3307.59
2026-09-03,Store,West,33,3578.52
2026-09-03,Web,East,68,5310.12
2026-09-03,Web,North,48,3657.6
2026-09-03,Web,South,64,4516.48
2026-09-03,Web,West,80,5796.8
2026-09-04,Mobile app,East,81,5357.34
2026-09-04,Mobile app,North,77,5404.63
2026-09-04,Mobile app,South,77,5302.22
2026-09-04,Mobile app,West,61,4158.37
2026-09-04,Phone,East,26,1249.82
2026-09-04,Phone,North,38,1934.2
2026-09-04,Phone,South,30,1638.9
2026-09-04,Phone,West,30,1436.4
2026-09-04,Store,East,55,6034.6
2026-09-04,Store,North,59,6747.83
2026-09-04,Store,South,51,5293.8
2026-09-04,Store,West,35,3608.85
2026-09-04,Web,East,66,4832.52
2026-09-04,Web,North,70,5554.5
2026-09-04,Web,South,46,3279.8
2026-09-04,Web,West,54,4763.34
2026-09-05,Mobile app,East,73,5418.79
2026-09-05,Mobile app,North,93,6013.38
2026-09-05,Mobile app,South,69,3907.47
2026-09-05,Mobile app,West,85,6031.6
2026-09-05,Phone,East,42,1726.2
2026-09-05,Phone,North,14,604.1
2026-09-05,Phone,South,30,1746.6
2026-09-05,Phone,West,38,1920.14
2026-09-05,Store,East,39,4457.31
2026-09-05,Store,North,27,3059.64
2026-09-05,Store,South,59,5836.87
2026-09-05,Store,West,51,5417.22
2026-09-05,Web,East,74,5448.62
2026-09-05,Web,North,70,5996.2
2026-09-05,Web,South,78,6978.66
2026-09-05,Web,West,70,5709.2
2026-09-06,Mobile app,East,76,5447.68
2026-09-06,Mobile app,North,88,5925.04
2026-09-06,Mobile app,South,96,6958.08
2026-09-06,Mobile app,West,80,5599.2
2026-09-06,Phone,East,39,2287.35
2026-09-06,Phone,North,27,1281.96
2026-09-06,Phone,South,35,2013.55
2026-09-06,Phone,West,43,1882.54
2026-09-06,Store,East,38,3627.48
2026-09-06,Store,North,50,5333.5
2026-09-06,Store,South,42,4701.48
2026-09-06,Store,West,42,4334.82
2026-09-06,Web,East,77,5929.0
2026-09-06,Web,North,49,3685.29
2026-09-06,Web,South,81,5887.08
2026-09-06,Web,West,65,4801.55
2026-09-07,Mobile app,East,94,6196.48
2026-09-07,Mobile app,North,74,4816.66
2026-09-07,Mobile app,South,90,5544.0
2026-09-07,Mobile app,West,82,4623.98
2026-09-07,Phone,East,45,1926.45
2026-09-07,Phone,North,17,915.96
2026-09-07,Phone,South,33,1909.05
2026-09-07,Phone,West,25,1378.5
2026-09-07,Store,East,44,4763.44
2026-09-07,Store,North,48,5143.2
2026-09-07,Store,South,40,4189.6
2026-09-07,Store,West,40,3981.2
2026-09-07,Web,East,47,4055.16
2026-09-07,Web,North,67,5360.67
2026-09-07,Web,South,59,4259.8
2026-09-07,Web,West,83,5892.17
2026-09-08,Mobile app,East,91,6604.78
2026-09-08,Mobile app,North,79,4871.93
2026-09-08,Mobile app,South,95,5770.3
2026-09-08,Mobile app,West,79,5142.11
2026-09-08,Phone,East,40,1774.0
2026-09-08,Phone,North,28,1399.44
2026-09-08,Phone,South,20,1085.4
2026-09-08,Phone,West,28,1209.6
2026-09-08,Store,East,53,5707.04
2026-09-08,Store,North,41,4316.89
2026-09-08,Store,South,25,2580.0
2026-09-08,Store,West,49,5187.63
2026-09-08,Web,East,84,7511.28
2026-09-08,Web,North,72,5986.8
