date,channel,region,orders,revenue
2026-09-01,手机银行,华东,111,132771.24
2026-09-01,手机银行,华南,92,109763.53
2026-09-01,手机银行,华北,58,68366.56
2026-09-01,网上银行,华东,85,134149.01
2026-09-01,网上银行,华南,61,97726.79
2026-09-01,网上银行,华北,38,61647.13
2026-09-01,微信银行,华东,64,27265.62
2026-09-01,微信银行,华南,46,19819.95
2026-09-01,微信银行,华北,33,14209.0
2026-09-01,电话银行,华东,29,7566.22
2026-09-01,电话银行,华南,18,4696.03
2026-09-01,电话银行,华北,14,3736.2
2026-09-01,柜面,华东,18,54008.45
2026-09-01,柜面,华南,12,37240.39
2026-09-01,柜面,华北,9,27318.16
2026-09-02,手机银行,华东,127,148215.45
2026-09-02,手机银行,华南,80,91204.87
2026-09-02,手机银行,华北,61,71304.94
2026-09-02,网上银行,华东,79,132006.61
2026-09-02,网上银行,华南,54,90934.07
2026-09-02,网上银行,华北,45,72481.3
2026-09-02,微信银行,华东,69,29080.96
2026-09-02,微信银行,华南,47,18981.93
2026-09-02,微信银行,华北,34,13966.09
2026-09-02,电话银行,华东,29,7258.57
2026-09-02,电话银行,华南,19,4850.33
2026-09-02,电话银行,华北,13,3370.51
2026-09-02,柜面,华东,20,60792.04
2026-09-02,柜面,华南,14,44973.35
2026-09-02,柜面,华北,8,24049.79
2026-09-03,手机银行,华东,134,161423.64
2026-09-03,手机银行,华南,87,101645.94
2026-09-03,手机银行,华北,61,73829.17
2026-09-03,网上银行,华东,77,131029.44
2026-09-03,网上银行,华南,64,106957.52
2026-09-03,网上银行,华北,42,69045.72
2026-09-03,微信银行,华东,66,27762.91
2026-09-03,微信银行,华南,50,21058.66
2026-09-03,微信银行,华北,34,13753.12
2026-09-03,电话银行,华东,31,8073.98
2026-09-03,电话银行,华南,19,4981.73
2026-09-03,电话银行,华北,14,3553.17
2026-09-03,柜面,华东,16,51324.33
2026-09-03,柜面,华南,14,44083.99
2026-09-03,柜面,华北,8,25660.27
2026-09-04,手机银行,华东,111,132202.6
2026-09-04,手机银行,华南,81,93940.93
2026-09-04,手机银行,华北,63,72803.29
2026-09-04,网上银行,华东,89,141692.36
2026-09-04,网上银行,华南,61,96864.82
2026-09-04,网上银行,华北,37,61444.1
2026-09-04,微信银行,华东,67,29156.44
2026-09-04,微信银行,华南,47,20110.2
2026-09-04,微信银行,华北,29,12025.58
2026-09-04,电话银行,华东,27,7160.39
2026-09-04,电话银行,华南,23,5830.67
2026-09-04,电话银行,华北,15,3795.83
2026-09-04,柜面,华东,16,48933.4
2026-09-04,柜面,华南,14,42174.21
2026-09-04,柜面,华北,8,24600.93
2026-09-05,手机银行,华东,88,101364.72
2026-09-05,手机银行,华南,70,84666.99
2026-09-05,手机银行,华北,45,53989.99
2026-09-05,网上银行,华东,70,113855.52
2026-09-05,网上银行,华南,45,74844.68
2026-09-05,网上银行,华北,31,48842.35
2026-09-05,微信银行,华东,45,19558.17
2026-09-05,微信银行,华南,36,15013.48
2026-09-05,微信银行,华北,26,10618.84
2026-09-05,电话银行,华东,21,5627.22
2026-09-05,电话银行,华南,13,3431.3
2026-09-05,电话银行,华北,10,2497.69
2026-09-05,柜面,华东,12,37750.2
2026-09-05,柜面,华南,9,27994.51
2026-09-05,柜面,华北,6,18541.82
2026-09-06,手机银行,华东,88,101684.85
2026-09-06,手机银行,华南,71,82908.79
2026-09-06,手机银行,华北,45,51804.57
2026-09-06,网上银行,华东,67,107060.78
2026-09-06,网上银行,华南,52,82092.45
2026-09-06,网上银行,华北,35,56617.47
2026-09-06,微信银行,华东,54,21955.41
2026-09-06,微信银行,华南,37,15228.44
2026-09-06,微信银行,华北,24,9792.28
2026-09-06,电话银行,华东,20,5122.55
2026-09-06,电话银行,华南,16,4223.11
2026-09-06,电话银行,华北,10,2599.71
2026-09-06,柜面,华东,14,44095.03
2026-09-06,柜面,华南,9,26961.82
2026-09-06,柜面,华北,6,18756.51
2026-09-07,手机银行,华东,118,134876.91
2026-09-07,手机银行,华南,87,104206.68
2026-09-07,手机银行,华北,61,70578.61
2026-09-07,网上银行,华东,95,156554.29
2026-09-07,网上银行,华南,66,112372.82
2026-09-07,网上银行,华北,42,67320.94
2026-09-07,微信银行,华东,75,31538.56
2026-09-07,微信银行,华南,49,20336.95
2026-09-07,微信银行,华北,34,14370.06
2026-09-07,电话银行,华东,30,7616.82
2026-09-07,电话银行,华南,22,5549.58
2026-09-07,电话银行,华北,15,3995.58
2026-09-07,柜面,华东,19,59689.07
2026-09-07,柜面,华南,15,47111.26
2026-09-07,柜面,华北,9,28265.65
2026-09-08,手机银行,华东,137,166287.72
2026-09-08,手机银行,华南,97,110313.92
2026-09-08,手机银行,华北,67,78074.04
2026-09-08,网上银行,华东,98,156862.74
2026-09-08,网上银行,华南,70,111114.58
